x,n,payoff_C,payoff_D,epi_size,C,eta,beta,gamma,theta,x0,n0,L,Dr,Dg,Game
0.03663227030439478,1e-05,-0.00377781985318652,-0.002677144978311645,0.002869536202869536,0.1,0.1,0.1,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.025191938745108913,1e-05,-0.002532255233010789,-0.0009196518184851519,0.0010343677010343677,0.1,0.1,0.1,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.023194090884546947,1e-05,-0.0023320770548326103,-0.0005859532866199533,0.0007118229340451563,0.1,0.1,0.1,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.02236845284351173,1e-05,-0.002239771393615838,-0.00041910694027360695,0.0005449894338783228,0.1,0.1,0.1,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.021485534685606492,1e-05,-0.0021519154154154155,-0.00027450400400400406,0.0004004004004004004,0.1,0.1,0.1,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.021637402928312108,1e-05,-0.0021663727282838397,-0.00031899482816149486,0.00041152263374485596,0.1,0.1,0.1,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.021025276526562598,1e-05,-0.002105207173840507,-0.0001632737737737738,0.0002669336002669336,0.1,0.1,0.1,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.0208123962717609,1e-05,-0.002084077255032811,-0.0001521494828161495,0.000333667000333667,0.1,0.1,0.1,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.02088969866199781,1e-05,-0.0020918619619619623,-0.00017439489489489492,0.000333667000333667,0.1,0.1,0.1,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
0.020646868520876542,1e-05,-0.0020673957401846294,-0.00012990090090090093,0.00021132243354465578,0.1,0.1,0.1,1.0,0.5,0.5,0.5,300,0.5,0.5,PD
0.04877093231794947,9.507925740348618e-05,-0.005353357450707568,-0.005986272131698667,0.006795684573462351,0.1,0.1,0.2,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.03926800218160091,0.00012745630204707354,-0.004081641346675249,-0.003132890185356226,0.003648092536981426,0.1,0.1,0.2,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.028837784690647836,1e-05,-0.0029081466466466467,-0.001498067901234568,0.0017795573351128907,0.1,0.1,0.2,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.02499501549914912,1e-05,-0.002524471805138472,-0.000986383883883884,0.0011900789678567457,0.1,0.1,0.2,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.0237852533255195,1e-05,-0.0024154871871871876,-0.0006971865198531866,0.000923145367589812,0.1,0.1,0.2,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.023070011273471157,1e-05,-0.002320956044933823,-0.0005637082082082083,0.0007674341007674341,0.1,0.1,0.2,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.02230063062854913,1e-05,-0.002231986686686687,-0.0004191074407741074,0.0006562117673228784,0.1,0.1,0.2,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.02194164679309071,1e-05,-0.002197511556000445,-0.0003857350684017351,0.0006006006006006006,0.1,0.1,0.2,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.021846855836799822,1e-05,-0.002209747225002781,-0.00039685702369035705,0.0007118229340451563,0.1,0.1,0.2,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
0.02179293925075396,1e-05,-0.0021819421421421423,-0.00030787754421087755,0.0005783561339116895,0.1,0.1,0.2,1.0,0.5,0.5,0.5,300,0.5,0.5,PD
0.21491179152428713,1e-05,-0.02876643942831721,-0.02866149049049049,0.03618062506951396,0.1,0.1,0.30000000000000004,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.0427645087575689,0.00019186648256478542,-0.004458337090112925,-0.005094487641302212,0.005839172505839173,0.1,0.1,0.30000000000000004,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.038755473822299706,2.0715616499413234e-05,-0.004000852340647827,-0.0030495293463466216,0.0035035035035035035,0.1,0.1,0.30000000000000004,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.03341988445769496,1e-05,-0.003368556456456457,-0.002365675842509176,0.002669336002669336,0.1,0.1,0.30000000000000004,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.02864336221136877,1e-05,-0.0028903530308085866,-0.0015536781781781783,0.0019352686019352685,0.1,0.1,0.30000000000000004,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.0258896889037103,1e-05,-0.0026145519853186523,-0.0011087444110777446,0.001434768101434768,0.1,0.1,0.30000000000000004,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.024523748197178227,1e-05,-0.0024666412746079413,-0.0009196446446446447,0.0012123234345456568,0.1,0.1,0.30000000000000004,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.02379662058573401,1e-05,-0.002404364898231565,-0.0007861666666666667,0.0011233455677900123,0.1,0.1,0.30000000000000004,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.023396629102441217,1e-05,-0.0023520948726504284,-0.0006193268268268269,0.0009898787676565453,0.1,0.1,0.30000000000000004,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
0.022917484785611328,1e-05,-0.002293152241130019,-0.0005080950950950952,0.0007563118674229786,0.1,0.1,0.30000000000000004,1.0,0.5,0.5,0.5,300,0.5,0.5,PD
0.4500883696349522,0.00043961241076452757,-0.22589521403172155,-0.22592907566577872,0.40738516294071847,0.1,0.1,0.4,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.05682544626994285,1e-05,-0.006107707240573908,-0.006525764597931265,0.00735179624068513,0.1,0.1,0.4,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.04209979026539475,0.00019130319500278644,-0.00441624483410525,-0.004850463344393257,0.005772439105772439,0.1,0.1,0.4,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.03913409744549806,2.5263060719429368e-05,-0.004015096719361412,-0.0031316531270926943,0.0037370704037370706,0.1,0.1,0.4,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.033458096645672473,1e-05,-0.003427504204204204,-0.0022433324991658326,0.002691580469358247,0.1,0.1,0.4,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.030108774160043178,1e-05,-0.00304493634745857,-0.0017094132465799133,0.0022022022022022024,0.1,0.1,0.4,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.02982848575460502,1e-05,-0.002996001345790235,-0.0018206306306306308,0.0021910799688577465,0.1,0.1,0.4,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.026755010609708866,1e-05,-0.0027235404404404406,-0.0012533493493493495,0.001746190635079524,0.1,0.1,0.4,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.026051279794016217,1e-05,-0.0026523659770881997,-0.0012199711378044712,0.001668335001668335,0.1,0.1,0.4,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
0.024944341457313054,1e-05,-0.0025066769102435773,-0.0008862856189522857,0.0013013013013013013,0.1,0.1,0.4,1.0,0.5,0.5,0.5,300,0.5,0.5,PD
0.47596354259741486,0.0004943062533547154,-0.45769352148114895,-0.45777918006387514,0.8687910132354577,0.1,0.1,0.5,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.15473746586216872,1e-05,-0.018960610121232346,-0.01873950800800801,0.0226782337893449,0.1,0.1,0.5,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.0474119408236287,3.3865792857456645e-05,-0.004940869249861371,-0.005744009927829697,0.006484262039817596,0.1,0.1,0.5,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.04187719547278238,0.0001733185452710985,-0.00436934183736652,-0.0036984229797631515,0.004649093537982427,0.1,0.1,0.5,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.039858619775335814,7.459985548620098e-05,-0.004107344678692229,-0.0036577966289984137,0.004348793237682127,0.1,0.1,0.5,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.036348658319216666,1e-05,-0.0037255485485485486,-0.002821736903570237,0.00343677010343677,0.1,0.1,0.5,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.03505683760766421,1e-05,-0.003586534645756868,-0.0024991703370036704,0.0030363697030363697,0.1,0.1,0.5,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.03166478377852519,1e-05,-0.0032373336558781008,-0.0022544319319319325,0.002958514069625181,0.1,0.1,0.5,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.029285905582239462,1e-05,-0.003009354232009788,-0.0017872565899232568,0.0022800578356133912,0.1,0.1,0.5,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
0.028382500803069033,1e-05,-0.00287367279501724,-0.0014313324991658324,0.0020687354020687354,0.1,0.1,0.5,1.0,0.5,0.5,0.5,300,0.5,0.5,PD
0.4764908351818655,0.0007145477457086505,-0.4959643387485732,-0.49595248922375823,0.945434323212101,0.1,0.1,0.6,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.2947197771880134,3.195171476857076e-05,-0.049882836626274935,-0.0498379564992814,0.07075964853742632,0.1,0.1,0.6,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.08047589955462783,1e-05,-0.008707826215103994,-0.009006394728061395,0.010377043710377044,0.1,0.1,0.6,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.0456181220046608,0.0001682195283270659,-0.004808199962166024,-0.005709358556222808,0.006851295740184629,0.1,0.1,0.6,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.04192833818261121,0.0001912137272476812,-0.00431840983651732,-0.00419427724183695,0.005105105105105105,0.1,0.1,0.6,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.04053959833904958,0.00017217770182281384,-0.004181688808926579,-0.0032214730227324573,0.004148593037481926,0.1,0.1,0.6,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.03830208886476007,1e-05,-0.003940186597708821,-0.002877378878878879,0.0036258480702925145,0.1,0.1,0.6,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.03544898845529733,1e-05,-0.003603213602491381,-0.0024435663997330664,0.0030697364030697364,0.1,0.1,0.6,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.03229810431626461,1e-05,-0.0032640202424646875,-0.0021654622956289622,0.0028139250361472585,0.1,0.1,0.6,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
0.030720097672289046,1e-05,-0.0031172241908575247,-0.0018206474808141477,0.0024691358024691358,0.1,0.1,0.6,1.0,0.5,0.5,0.5,300,0.5,0.5,PD
0.47634752187723256,0.0007094680203101534,-0.5074049963303504,-0.5074708712846969,0.9684907129351574,0.1,0.1,0.7000000000000001,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.4336509746364565,0.00019750277284681926,-0.1702544047740616,-0.17010470708009268,0.29788677566455346,0.1,0.1,0.7000000000000001,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.14726130421985723,1e-05,-0.017765050394839284,-0.018016449282615952,0.021688355021688355,0.1,0.1,0.7000000000000001,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.06419823342272718,1e-05,-0.006845030196863531,-0.007081991825158492,0.00805249694138583,0.1,0.1,0.7000000000000001,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.04498881705753613,0.00018481745877953085,-0.004800792483587507,-0.00541733796293354,0.00667334000667334,0.1,0.1,0.7000000000000001,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.04232738201444151,0.00019156516528790905,-0.004454015599302648,-0.004460879400403571,0.005661216772327883,0.1,0.1,0.7000000000000001,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.04096718416742247,0.00017257979162279424,-0.004237193665420138,-0.003799405188897123,0.0047491936380825266,0.1,0.1,0.7000000000000001,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.04008430750226124,0.0001557428989639451,-0.004136938528131538,-0.0032684313334876477,0.004304304304304304,0.1,0.1,0.7000000000000001,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.039034157753279154,3.3897495934446434e-05,-0.003922396225974552,-0.0028627913394085333,0.0036369703036369704,0.1,0.1,0.7000000000000001,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
0.03558153523767535,1e-05,-0.0036488135802469138,-0.002666014180847514,0.00333667000333667,0.1,0.1,0.7000000000000001,1.0,0.5,0.5,0.5,300,0.5,0.5,PD
0.4761874241309044,0.0007059323554242238,-0.5152623883804825,-0.5153278974356583,0.9842620398175954,0.1,0.1,0.8,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.4715619129869996,0.0003608261807329579,-0.3798817853621035,-0.3799928939931576,0.7138249360471582,0.1,0.1,0.8,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.27676971636926284,1e-05,-0.045273429284840405,-0.045156780447113784,0.06349683016349683,0.1,0.1,0.8,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.11642320731929368,1e-05,-0.01325865346457569,-0.013466972138805473,0.015815815815815815,0.1,0.1,0.8,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.0548508041591294,1e-05,-0.005853029718607497,-0.006258803470136804,0.007273940607273941,0.1,0.1,0.8,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.045191259602596595,0.00018504008836045692,-0.004768471263075629,-0.005539438139195477,0.006762317873428985,0.1,0.1,0.8,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.04281405642075024,0.00019210510380039867,-0.004428284550873087,-0.0051498910675540814,0.006306306306306306,0.1,0.1,0.8,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.04152852397365575,0.00016478952717530315,-0.004325327162967227,-0.004489875997049455,0.00569458347236125,0.1,0.1,0.8,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.040745346416896186,0.0001810256745435712,-0.0042023629477283015,-0.003219370099451594,0.0043710377043710376,0.1,0.1,0.8,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
0.03981774799079514,6.763330107055788e-05,-0.004125465081076112,-0.00320120170298606,0.004293182070959849,0.1,0.1,0.8,1.0,0.5,0.5,0.5,300,0.5,0.5,PD
0.476070711984851,0.0006988757211283467,-0.51812509549751,-0.5182465887605692,0.9900011122233344,0.1,0.1,0.9,0.1,0.5,0.5,0.5,300,0.5,0.5,PD
0.4760892718599198,0.0006038025191089027,-0.4629851037659414,-0.4628576718464819,0.879468357246135,0.1,0.1,0.9,0.2,0.5,0.5,0.5,300,0.5,0.5,PD
0.3921722074348383,0.00010827027130378175,-0.10566468836599317,-0.10551011303946518,0.17287287287287287,0.1,0.1,0.9,0.30000000000000004,0.5,0.5,0.5,300,0.5,0.5,PD
0.18628966532422475,1e-05,-0.02363383371148927,-0.02362266966966967,0.02937381826270715,0.1,0.1,0.9,0.4,0.5,0.5,0.5,300,0.5,0.5,PD
0.09624418084721657,1e-05,-0.010794186508730954,-0.010775075909242576,0.012723834946057168,0.1,0.1,0.9,0.5,0.5,0.5,0.5,300,0.5,0.5,PD
0.05575758281094471,1e-05,-0.005999833444555668,-0.00635892008675342,0.007585363140918696,0.1,0.1,0.9,0.6,0.5,0.5,0.5,300,0.5,0.5,PD
0.045997780095350195,0.00015288582003839424,-0.0048912471797082835,-0.0057213590128545955,0.007062618173729285,0.1,0.1,0.9,0.7000000000000001,0.5,0.5,0.5,300,0.5,0.5,PD
0.04365220673955508,0.00019287247240792684,-0.004501464398041532,-0.005427108365195927,0.006628851073295518,0.1,0.1,0.9,0.8,0.5,0.5,0.5,300,0.5,0.5,PD
0.04242196600604655,0.00019169278301417347,-0.004467326548428608,-0.0038378548033580193,0.005149594038482927,0.1,0.1,0.9,0.9,0.5,0.5,0.5,300,0.5,0.5,PD
